instrument,instrument_abb,construct_reported,construct_definition_reported,source_ref,author,year,respondents
Intelligent-TPACK scale,I-TPACK,Intelligent TK,Intelligent-TK tackles the knowledge to interact with AI-based tools and to use fundamental functionalities of AI-based tools. This component aims to measure teachers_ familiarization level with the technical capacities of AI-based tools.,https://doi.org/10.1016/j.chb.2022.107468,"(Celik, 2023)",2023,Teachers
Intelligent-TPACK scale,I-TPACK,Intelligent TPK,"Intelligent-TPK addresses the knowledge for pedagogical affordances of AI-based tools such as personal and timely feedback, and monitoring students_ learning. Also, Intelligent-TPK measures teachers_ understanding of alerting (or notification) and interpretation of messages from AI-based tools.",https://doi.org/10.1016/j.chb.2022.107472,"(Celik, 2023)",2023,Teachers
Intelligent-TPACK scale,I-TPACK,Intelligent TCK,Intelligent-TCK focuses on the knowledge of field-specific AI-based tools. It measures to what extent teachers use AI-based tools to update their content knowledge. This component also tackles teachers_ understanding of particular technologies which are more suitable for addressing subject-matter learning in their field.,https://doi.org/10.1016/j.chb.2022.107470,"(Celik, 2023)",2023,Teachers
Intelligent-TPACK scale,I-TPACK,Intelligent TPACK,"Intelligent-TPACK is regarded as the core knowledge domain. It measures teachers_ professional knowledge to select and use suitable AI-based tools (e.g., intelligent tutoring systems) for performing a teaching strategy (e.g., monitoring and timely feedback) to accomplish the instructional goals in a particular domain.",https://doi.org/10.1016/j.chb.2022.107469,"(Celik, 2023)",2023,Teachers
AI literacy questionnaire,AILQ,Intrinsic motivation,Intrinsic motivation promotes students' doing of the learning activities for their inherent satisfactions,https://doi.org/10.1111/bjet.13411,"(Ng et al., 2024)",2023,K12 students
AI literacy questionnaire,AILQ,Self-efficacy,Self-efficacy refers to one' belief in their capabilities in performing a specific task successfully ,https://doi.org/10.1111/bjet.13411,"(Ng et al., 2024)",2023,K12 students
AI literacy questionnaire,AILQ,Confidence,Confidence in learning AI is the student' perceived level of comfort and readiness with the use of AI technology in their everyday lives ,https://doi.org/10.1111/bjet.13411,"(Ng et al., 2024)",2023,K12 students
AI literacy questionnaire,AILQ,Behavioral commitment,"The level of dedication and involvement an individual has towards AI-related behaviors,encompassing both behavioral intention and behavioral engagement.",https://doi.org/10.1111/bjet.13411,"(Ng et al., 2024)",2023,K12 students
AI literacy questionnaire,AILQ,Collaboration,The tendency to engage in peer support behaviors in AI learning contexts.,https://doi.org/10.1111/bjet.13411,"(Ng et al., 2024)",2023,K12 students
AI literacy questionnaire,AILQ,Know and understand,Lower-order thinking skills such as knowing the basic functions of AI and how to use AI applications.,https://doi.org/10.1111/bjet.13411,"(Ng et al., 2024)",2023,K12 students
AI literacy questionnaire,AILQ,"Apply, evaluate and create","Higher-order thinking skills such as evaluating, appraising, predicting, and designing with AI applications.",https://doi.org/10.1111/bjet.13411,"(Ng et al., 2024)",2023,K12 students
AI literacy questionnaire,AILQ,AI ethics,"Human-centered considerations such as fairness, accountability, transparency, ethics, safety, reliability, privacy, inclusiveness, transparency, accountability, awareness, and social good.",https://doi.org/10.1111/bjet.13411,"(Ng et al., 2024)",2023,K12 students
AI literacy scale,AILS,Awareness,Awareness refers to the ability to identify and comprehend AI technology during the use of AI-related applications.,https://doi.org/10.1080/0144929X.2022.2072768,"(Wang et al., 2023)",2022,Ordinary users
AI literacy scale,AILS,Usage,Usage refers to the ability to apply and exploit AI technology to accomplish tasks proficiently.,https://doi.org/10.1080/0144929X.2022.2072771,"(Wang et al., 2023)",2022,Ordinary users
AI literacy scale,AILS,Evaluation,"Evaluation refers to the ability to analyze, select, and critically evaluate AI applications and their outcomes.",https://doi.org/10.1080/0144929X.2022.2072774,"(Wang et al., 2023)",2022,Ordinary users
AI literacy scale,AILS,Ethics,Ethics refers to the ability to be aware of the responsibilities and risks associated with the use of AI technology.,https://doi.org/10.1080/0144929X.2022.2072777,"(Wang et al., 2023)",2022,Ordinary users
AI self-efficacy scale,AISES,Assistance,Assistance dimension means the degree to which individuals perceive AI technologies/products as helpful or valuable for their tasks. ,https://doi.org/10.1007/s10639-023-12015-w,"(Y.-Y. Wang & Chuang, 2024)",2023,College students
AI self-efficacy scale,AISES,Anthropomorphic Interaction,Anthropomorphic interaction dimension refers to the degree of anthropomorphism individuals perceive when interacting with AI technologies/products. ,https://doi.org/10.1007/s10639-023-12015-w,"(Y.-Y. Wang & Chuang, 2024)",2023,College students
AI self-efficacy scale,AISES,Comfort with AI,The comfort with AI dimension represents an individual__ emotional awareness when interacting with AI technologies/products. ,https://doi.org/10.1007/s10639-023-12015-w,"(Y.-Y. Wang & Chuang, 2024)",2023,College students
