item_id,instrument,construct_reported,text,lang,is_reverse_keyed,source_ref,year,respondents,text_norm,is_empty
it_000001,Intelligent-TPACK scale,Intelligent TK,I know how to interact with AI-based tools in daily life.,en,FALSE,https://doi.org/10.1016/j.chb.2022.107468,2023,teachers    ,i know how to interact with ai-based tools in daily life.,FALSE
it_000002,Intelligent-TPACK scale,Intelligent TK,I know how to execute some tasks with AI-based tools.,en,FALSE,https://doi.org/10.1016/j.chb.2022.107469,2023,teachers    ,i know how to execute some tasks with ai-based tools.,FALSE
it_000003,Intelligent-TPACK scale,Intelligent TK,I know how to initialize a task for AI-based technologies by text or speech.,en,FALSE,https://doi.org/10.1016/j.chb.2022.107470,2023,teachers    ,i know how to initialize a task for ai-based technologies by text or speech.,FALSE
it_000004,Intelligent-TPACK scale,Intelligent TK,I have sufficient knowledge to use AI-based tools.,en,FALSE,https://doi.org/10.1016/j.chb.2022.107471,2023,teachers    ,i have sufficient knowledge to use ai-based tools.,FALSE
it_000005,Intelligent-TPACK scale,Intelligent TK,I am familiar with AI-based tools and their technical capacities.,en,FALSE,https://doi.org/10.1016/j.chb.2022.107472,2023,teachers    ,i am familiar with ai-based tools and their technical capacities.,FALSE
it_000006,Intelligent-TPACK scale,Intelligent TPK,I can understand the pedagogical contribution of AI-based tools to my teaching field.,en,FALSE,https://doi.org/10.1016/j.chb.2022.107472,2023,teachers    ,i can understand the pedagogical contribution of ai-based tools to my teaching field.,FALSE
it_000007,Intelligent-TPACK scale,Intelligent TPK,I can evaluate the usefulness of feedback from AI-based tools for teaching and learning.,en,FALSE,https://doi.org/10.1016/j.chb.2022.107468,2023,teachers    ,i can evaluate the usefulness of feedback from ai-based tools for teaching and learning.,FALSE
it_000008,Intelligent-TPACK scale,Intelligent TPK,I can select AI-based tools for students to apply their knowledge.,en,FALSE,https://doi.org/10.1016/j.chb.2022.107469,2023,teachers    ,i can select ai-based tools for students to apply their knowledge.,FALSE
it_000009,Intelligent-TPACK scale,Intelligent TPK,I know how to use AI-based tools to monitor students鈥?learning.,en,FALSE,https://doi.org/10.1016/j.chb.2022.107470,2023,teachers    ,i know how to use ai-based tools to monitor students鈥?learning.,FALSE
it_000010,Intelligent-TPACK scale,Intelligent TPK,I can interpret messages from AI-based tools to give real-time feedback.,en,FALSE,https://doi.org/10.1016/j.chb.2022.107471,2023,teachers    ,i can interpret messages from ai-based tools to give real-time feedback.,FALSE
it_000011,Intelligent-TPACK scale,Intelligent TPK,I can understand alerting (or notification) from AI-based tools to scaffold students鈥?learning.,en,FALSE,https://doi.org/10.1016/j.chb.2022.107472,2023,teachers    ,i can understand alerting (or notification) from ai-based tools to scaffold students鈥?learning.,FALSE
it_000012,Intelligent-TPACK scale,Intelligent TPK,I have the knowledge to select AI-based tools to sustain students鈥?motivation.,en,FALSE,https://doi.org/10.1016/j.chb.2022.107472,2023,teachers    ,i have the knowledge to select ai-based tools to sustain students鈥?motivation.,FALSE
it_000013,Intelligent-TPACK scale,Intelligent TCK,I can use AI-based tools to search for educational material in my teaching field.,en,FALSE,https://doi.org/10.1016/j.chb.2022.107470,2023,teachers    ,i can use ai-based tools to search for educational material in my teaching field.,FALSE
it_000014,Intelligent-TPACK scale,Intelligent TCK,I am aware of various AI-based tools which are used by professionals in my teaching field.,en,FALSE,https://doi.org/10.1016/j.chb.2022.107471,2023,teachers    ,i am aware of various ai-based tools which are used by professionals in my teaching field.,FALSE
it_000015,Intelligent-TPACK scale,Intelligent TCK,I can use AI-based tools to better understand the contents of my teaching field.,en,FALSE,https://doi.org/10.1016/j.chb.2022.107472,2023,teachers    ,i can use ai-based tools to better understand the contents of my teaching field.,FALSE
it_000016,Intelligent-TPACK scale,Intelligent TCK,"I know how to utilize my field-specific AI-based tools (e.g., intelligent tutor for Math).",en,FALSE,https://doi.org/10.1016/j.chb.2022.107472,2023,teachers    ,"i know how to utilize my field-specific ai-based tools (e.g., intelligent tutor for math).",FALSE
it_000017,Intelligent-TPACK scale,Intelligent TPACK,"In teaching my field, I know how to use different AI-based tools for adaptive feedback.",en,FALSE,https://doi.org/10.1016/j.chb.2022.107469,2023,teachers    ,"in teaching my field, i know how to use different ai-based tools for adaptive feedback.",FALSE
it_000018,Intelligent-TPACK scale,Intelligent TPACK,"In teaching my field, I know how to use different AI-based tools for personalized learning.",en,FALSE,https://doi.org/10.1016/j.chb.2022.107470,2023,teachers    ,"in teaching my field, i know how to use different ai-based tools for personalized learning.",FALSE
it_000019,Intelligent-TPACK scale,Intelligent TPACK,"In teaching my field, I know how to use different AI-based tools for real-time feedback.",en,FALSE,https://doi.org/10.1016/j.chb.2022.107471,2023,teachers    ,"in teaching my field, i know how to use different ai-based tools for real-time feedback.",FALSE
it_000020,Intelligent-TPACK scale,Intelligent TPACK,I can teach a subject using AI-based tools with diverse teaching strategies.,en,FALSE,https://doi.org/10.1016/j.chb.2022.107472,2023,teachers    ,i can teach a subject using ai-based tools with diverse teaching strategies.,FALSE
it_000021,Intelligent-TPACK scale,Intelligent TPACK,"I can teach lessons that appropriately combine my teaching content, AI-based tools, and teaching strategies.",en,FALSE,https://doi.org/10.1016/j.chb.2022.107472,2023,teachers    ,"i can teach lessons that appropriately combine my teaching content, ai-based tools, and teaching strategies.",FALSE
it_000022,Intelligent-TPACK scale,Intelligent TPACK,I can take a leadership role among my colleagues in the integration of AI-based tools into our teaching field.,en,FALSE,https://doi.org/10.1016/j.chb.2022.107470,2023,teachers    ,i can take a leadership role among my colleagues in the integration of ai-based tools into our teaching field.,FALSE
it_000023,Intelligent-TPACK scale,Intelligent TPACK,I can select various AI-based tools to monitor students鈥?learning in my teaching process.,en,FALSE,https://doi.org/10.1016/j.chb.2022.107471,2023,teachers    ,i can select various ai-based tools to monitor students鈥?learning in my teaching process.,FALSE
it_000024,AI competency self-assessment questionnaire,"Knowledge of the existence and potential of AI tools, understanding of how these tools could be integrated in learning, and a conceptual understanding of the criteria for the selection and use of AI resources.","I am aware that there are different AI tools that can be used in education in different subject areas and planning lessons, both involving tools in lessons (e.g., ChatGPT, MidJourney, Co-pilot, Canva, Gemini).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i am aware that there are different ai tools that can be used in education in different subject areas and planning lessons, both involving tools in lessons (e.g., chatgpt, midjourney, co-pilot, canva, gemini).",FALSE
