src,dst,rel,weight
it_000001,Intelligent TK,item_construct,1.0
it_000002,Intelligent TK,item_construct,1.0
it_000003,Intelligent TK,item_construct,1.0
it_000004,Intelligent TK,item_construct,1.0
it_000005,Intelligent TK,item_construct,1.0
it_000006,Intelligent TPK,item_construct,1.0
it_000007,Intelligent TPK,item_construct,1.0
it_000008,Intelligent TPK,item_construct,1.0
it_000009,Intelligent TPK,item_construct,1.0
it_000010,Intelligent TPK,item_construct,1.0
it_000011,Intelligent TPK,item_construct,1.0
it_000012,Intelligent TPK,item_construct,1.0
it_000013,Intelligent TCK,item_construct,1.0
it_000014,Intelligent TCK,item_construct,1.0
it_000015,Intelligent TCK,item_construct,1.0
it_000016,Intelligent TCK,item_construct,1.0
it_000017,Intelligent TPACK,item_construct,1.0
it_000018,Intelligent TPACK,item_construct,1.0
it_000019,Intelligent TPACK,item_construct,1.0
it_000020,Intelligent TPACK,item_construct,1.0
it_000021,Intelligent TPACK,item_construct,1.0
it_000022,Intelligent TPACK,item_construct,1.0
it_000023,Intelligent TPACK,item_construct,1.0
it_000024,"Knowledge of the existence and potential of AI tools, understanding of how these tools could be integrated in learning, and a conceptual understanding of the criteria for the selection and use of AI resources.",item_construct,1.0
it_000025,"Knowledge of the existence and potential of AI tools, understanding of how these tools could be integrated in learning, and a conceptual understanding of the criteria for the selection and use of AI resources.",item_construct,1.0
it_000026,"Knowledge of the existence and potential of AI tools, understanding of how these tools could be integrated in learning, and a conceptual understanding of the criteria for the selection and use of AI resources.",item_construct,1.0
it_000027,"Knowledge of the existence and potential of AI tools, understanding of how these tools could be integrated in learning, and a conceptual understanding of the criteria for the selection and use of AI resources.",item_construct,1.0
it_000028,"Knowledge of the existence and potential of AI tools, understanding of how these tools could be integrated in learning, and a conceptual understanding of the criteria for the selection and use of AI resources.",item_construct,1.0
it_000029,"Knowledge of the existence and potential of AI tools, understanding of how these tools could be integrated in learning, and a conceptual understanding of the criteria for the selection and use of AI resources.",item_construct,1.0
it_000030,"Knowledge of the existence and potential of AI tools, understanding of how these tools could be integrated in learning, and a conceptual understanding of the criteria for the selection and use of AI resources.",item_construct,1.0
it_000031,Identification: Ability to identify and understand the basic principles of using AI,item_construct,1.0
it_000032,Identification: Ability to identify and understand the basic principles of using AI,item_construct,1.0
it_000033,Identification: Ability to identify and understand the basic principles of using AI,item_construct,1.0
it_000034,Identification: Ability to identify and understand the basic principles of using AI,item_construct,1.0
it_000035,Identification: Ability to identify and understand the basic principles of using AI,item_construct,1.0
it_000036,Identification: Ability to identify and understand the basic principles of using AI,item_construct,1.0
it_000037,Identification: Ability to identify and understand the basic principles of using AI,item_construct,1.0
it_000038,"Practical experience: Hands-on experience using AI tools, including ability to use AI tools and integrate multiple AI resources for different purposes and improve your personal skills.",item_construct,1.0
it_000039,"Practical experience: Hands-on experience using AI tools, including ability to use AI tools and integrate multiple AI resources for different purposes and improve your personal skills.",item_construct,1.0
it_000040,"Practical experience: Hands-on experience using AI tools, including ability to use AI tools and integrate multiple AI resources for different purposes and improve your personal skills.",item_construct,1.0
it_000041,"Practical experience: Hands-on experience using AI tools, including ability to use AI tools and integrate multiple AI resources for different purposes and improve your personal skills.",item_construct,1.0
it_000042,"Practical experience: Hands-on experience using AI tools, including ability to use AI tools and integrate multiple AI resources for different purposes and improve your personal skills.",item_construct,1.0
it_000043,"Practical experience: Hands-on experience using AI tools, including ability to use AI tools and integrate multiple AI resources for different purposes and improve your personal skills.",item_construct,1.0
it_000044,"Practical experience: Hands-on experience using AI tools, including ability to use AI tools and integrate multiple AI resources for different purposes and improve your personal skills.",item_construct,1.0
it_000045,"Evaluation: The ability to critically evaluate the importance of AI in the learning process, not only ensuring the effective use of AI but also to understand and reflect on the wider implications of integrating AI into the learning process.",item_construct,1.0
it_000046,"Evaluation: The ability to critically evaluate the importance of AI in the learning process, not only ensuring the effective use of AI but also to understand and reflect on the wider implications of integrating AI into the learning process.",item_construct,1.0
it_000047,"Evaluation: The ability to critically evaluate the importance of AI in the learning process, not only ensuring the effective use of AI but also to understand and reflect on the wider implications of integrating AI into the learning process.",item_construct,1.0
it_000048,"Evaluation: The ability to critically evaluate the importance of AI in the learning process, not only ensuring the effective use of AI but also to understand and reflect on the wider implications of integrating AI into the learning process.",item_construct,1.0
it_000049,"Evaluation: The ability to critically evaluate the importance of AI in the learning process, not only ensuring the effective use of AI but also to understand and reflect on the wider implications of integrating AI into the learning process.",item_construct,1.0
it_000050,"Evaluation: The ability to critically evaluate the importance of AI in the learning process, not only ensuring the effective use of AI but also to understand and reflect on the wider implications of integrating AI into the learning process.",item_construct,1.0
it_000051,"Evaluation: The ability to critically evaluate the importance of AI in the learning process, not only ensuring the effective use of AI but also to understand and reflect on the wider implications of integrating AI into the learning process.",item_construct,1.0
it_000052,"Ethical considerations: Ethical aspects of AI technologies, promoting a balanced approach that considers both integrations of AI benefits as well as potential ethical issues.",item_construct,1.0
it_000053,"Ethical considerations: Ethical aspects of AI technologies, promoting a balanced approach that considers both integrations of AI benefits as well as potential ethical issues.",item_construct,1.0
it_000054,"Ethical considerations: Ethical aspects of AI technologies, promoting a balanced approach that considers both integrations of AI benefits as well as potential ethical issues.",item_construct,1.0
it_000055,"Ethical considerations: Ethical aspects of AI technologies, promoting a balanced approach that considers both integrations of AI benefits as well as potential ethical issues.",item_construct,1.0
it_000056,"Ethical considerations: Ethical aspects of AI technologies, promoting a balanced approach that considers both integrations of AI benefits as well as potential ethical issues.",item_construct,1.0
it_000057,"Ethical considerations: Ethical aspects of AI technologies, promoting a balanced approach that considers both integrations of AI benefits as well as potential ethical issues.",item_construct,1.0
it_000058,"Ethical considerations: Ethical aspects of AI technologies, promoting a balanced approach that considers both integrations of AI benefits as well as potential ethical issues.",item_construct,1.0
it_000059,"Algorithmic thinking: Algorithmic thinking skills and how these skills contribute to general AI literacy. The purpose is to promote a proactive approach to developing these competencies, recognizing their value in moving forward more digital and AI-integrated educational environments.",item_construct,1.0
it_000060,"Algorithmic thinking: Algorithmic thinking skills and how these skills contribute to general AI literacy. The purpose is to promote a proactive approach to developing these competencies, recognizing their value in moving forward more digital and AI-integrated educational environments.",item_construct,1.0
it_000061,"Algorithmic thinking: Algorithmic thinking skills and how these skills contribute to general AI literacy. The purpose is to promote a proactive approach to developing these competencies, recognizing their value in moving forward more digital and AI-integrated educational environments.",item_construct,1.0
