PC1,PC2,PC3
0.0055466834,0.04638926,0.047206827
-0.017593307,-0.06845185,0.038131893
0.010508051,-0.0010035457,-0.0036447304
0.015412901,-0.036312904,0.00017737038
0.09231834,0.004196546,-0.0019367859
-0.062340666,-0.018354537,0.12852183
-0.003058419,-0.0032690736,-0.014044248
-0.012404585,-0.10432577,0.12615474
0.05303748,-0.049221903,-0.14160232
-0.0011910804,-0.11239942,0.030826706
0.06425128,0.04663864,-0.021479584
-0.0060772393,0.0014568609,-0.11978298
0.0970648,0.056887016,0.031895623
-0.024973042,-0.03964168,-0.04694446
0.0029825405,-0.006911616,-0.005493839
-0.037323907,-0.021987585,-0.07213929
0.03225606,0.03731751,0.00058345124
0.013097741,0.07368586,0.013282174
-0.074955836,-0.08456704,0.05296856
-0.026032139,0.061857324,-0.084687464
0.008156696,-0.034228668,0.014620692
-0.08154238,0.0077045136,-0.010345461
0.053254336,-0.04347886,0.03387876
0.056326557,0.030982612,0.08295315
-0.038166456,0.07027882,-0.073685646
-0.050235238,0.06392137,-0.14264372
0.031581856,0.04502948,0.0428615
-0.037014887,0.011567716,0.012382677
-0.037905682,0.018713353,-0.026179815
-0.07735336,0.034623,-0.07840809
-0.04549939,-0.02732009,0.00022079589
0.030349791,-0.088742174,-0.026134659
0.050888814,-0.0027686243,-0.049088005
-0.05141778,-0.08382349,-0.03799005
-0.06776593,-0.015335012,-0.02687749
-0.035041112,0.07908096,-0.026299478
-0.043271028,-0.09125559,0.018647179
-0.054749362,0.03710899,0.029573793
0.027287185,-0.023090336,0.054627687
0.0021441858,-0.06140567,-0.10931012
0.07532698,0.024560796,0.089993164
-0.0145396665,0.080665186,-0.0041054934
-0.024987651,0.07556396,-0.06981055
0.04598508,-0.028375661,0.057341
-0.017012566,0.027515182,0.059972018
-0.0152574135,0.047285028,0.028764797
0.006698061,-0.06477642,-0.061684553
0.03345886,0.093840025,-0.0028016525
-0.022495968,-0.009355402,-0.011058714
0.017126486,0.024704643,0.053270113
-0.04439536,-0.058457203,0.026490018
0.02815721,0.02547219,0.05460659
0.05660636,-0.012629319,-0.053815782
-0.021294516,-0.028097507,0.047825605
0.012633704,0.010641317,0.0009832277
0.005869332,-0.026263904,0.018468784
0.034280293,0.06680896,0.031265102
-0.09344881,0.025935307,0.09497351
0.043313168,-0.017332165,-0.13673572
0.044073597,-0.021100784,-0.009869061
0.07815685,0.0378369,0.020188514
-0.083166346,-0.024735775,-0.02951962
0.08502067,-0.025500733,-0.021751227
-0.011523963,-0.0021559193,-0.0145413745
0.019368842,0.060228065,-0.0057852883
0.048047367,-0.0019716187,-0.047449373
0.062078755,0.07255881,-0.010556295
-0.034023907,0.043002672,-0.05661306
0.05983198,0.08938254,-0.0008008951
-0.055472437,-0.0303697,0.0057673
-0.06669477,-0.0014385176,0.02823364
0.0021813405,0.030433169,0.021008072
0.06080818,0.07564524,0.025645295
-0.058569964,-0.010473572,-0.02947253
-0.003464454,-0.06559116,-0.023734298
-0.038191438,-0.022559978,-0.08339976
0.043313593,0.07983642,-0.025960032
-0.09181486,0.0059194104,0.05149024
-0.02283222,0.052620396,-0.017727984
-0.038315464,-0.030304436,-0.019906806
-0.029063856,0.11830207,0.040227953
-0.0056446083,-0.07737049,0.038691685
0.050502904,0.08245439,-0.08188181
-0.05424151,0.026264252,-0.0073490962
0.045015495,-0.10835991,-0.021737913
-0.0759518,0.065153345,-0.019314516
-0.042053316,0.0027340502,-0.030177537
-0.047145106,-0.06662129,0.0031023687
0.031868283,-0.065022334,-0.032652594
0.085076675,0.02939873,0.058035508
-0.05878306,0.054385524,-0.05282063
0.040099014,-0.04990511,0.042385187
0.05432642,-0.045597598,0.08139972
0.061653856,-0.041676734,-0.023149101
0.012239689,-0.0053200712,-0.04944862
-0.042118497,0.0018569572,0.0017585409
-0.021411123,0.053338043,-0.027679034
0.015438693,0.03616084,-0.12321818
0.11711107,-0.020532558,-0.0395438
-0.088088304,0.018588355,-0.05222962
-0.024845503,-0.08315435,0.048477966
-0.0682805,0.087381214,0.034279592
0.050164446,0.045045856,0.03690411
-0.02226378,0.005688097,-0.04044782
-0.01894725,0.0062557575,-0.029627144
-0.062490236,-0.08301051,0.026329188
0.008820831,0.059183806,-0.030454084
-0.068324596,0.0478772,0.005300514
